director_name,actor_name,genres,movie_title
James Cameron,CCH Pounder,Action Adventure Fantasy Sci-Fi,avatar
Gore Verbinski,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Action Adventure Thriller,spectre
Christopher Nolan,Tom Hardy,Action Thriller,the dark knight rises
Doug Walker,Doug Walker,Documentary,star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Action Adventure Sci-Fi,john carter
Nathan Greno,Brad Garrett,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
Joss Whedon,Chris Hemsworth,Action Adventure Sci-Fi,avengers: age of ultron
David Yates,Alan Rickman,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Action Adventure Sci-Fi,batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Action Adventure Sci-Fi,superman returns
Marc Forster,Giancarlo Giannini,Action Adventure,quantum of solace
Gore Verbinski,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Action Adventure Western,the lone ranger
Zack Snyder,Henry Cavill,Action Adventure Fantasy Sci-Fi,man of steel
Andrew Adamson,Peter Dinklage,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
Rob Marshall,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
Peter Jackson,Aidan Turner,Adventure Fantasy,the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Action Adventure Fantasy,the amazing spider-man
Ridley Scott,Mark Addy,Action Adventure Drama History,robin hood
Peter Jackson,Aidan Turner,Adventure Fantasy,the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Adventure Family Fantasy,the golden compass
James Cameron,Leonardo DiCaprio,Drama Romance,titanic
Anthony Russo,Robert Downey Jr.,Action Adventure Sci-Fi,captain america: civil war
Peter Berg,Liam Neeson,Action Adventure Sci-Fi Thriller,battleship
Colin Trevorrow,Bryce Dallas Howard,Action Adventure Sci-Fi Thriller,jurassic world
Sam Raimi,J.K. Simmons,Action Adventure Fantasy Romance,spider-man 2
Shane Black,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 3
Brett Ratner,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
Dan Scanlon,Steve Buscemi,Adventure Animation Comedy Family Fantasy,monsters university
Michael Bay,Glenn Morshower,Action Adventure Sci-Fi,transformers: revenge of the fallen
Michael Bay,Bingbing Li,Action Adventure Sci-Fi,transformers: age of extinction
Marc Webb,Emma Stone,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
John Lasseter,Joe Mantegna,Adventure Animation Comedy Family Sport,cars 2
Martin Campbell,Ryan Reynolds,Action Adventure Sci-Fi,green lantern
Lee Unkrich,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story 3
McG,Christian Bale,Action Adventure Sci-Fi,terminator salvation
James Wan,Jason Statham,Action Crime Thriller,furious 7
Marc Forster,Peter Capaldi,Action Adventure Horror Sci-Fi Thriller,world war z
Bryan Singer,Jennifer Lawrence,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Action Adventure Sci-Fi,star trek into darkness
Bryan Singer,Eddie Marsan,Adventure Fantasy,jack the giant slayer
Mike Newell,Jake Gyllenhaal,Action Adventure Fantasy Romance,prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Action Adventure Sci-Fi,pacific rim
Michael Bay,Glenn Morshower,Action Adventure Sci-Fi,transformers: dark of the moon
Steven Spielberg,Harrison Ford,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Adventure Animation Comedy Family Fantasy,the good dinosaur
Mark Andrews,Kelly Macdonald,Adventure Animation Comedy Family Fantasy,brave
Justin Lin,Sofia Boutella,Action Adventure Sci-Fi Thriller,star trek beyond
Andrew Stanton,John Ratzenberger,Adventure Animation Family Sci-Fi,wall·e
Brett Ratner,Tzi Ma,Action Comedy Crime Thriller,rush hour 3
Roland Emmerich,Oliver Platt,Action Adventure Sci-Fi,2012
Robert Zemeckis,Robin Wright,Animation Drama Family Fantasy,a christmas carol
Lana Wachowski,Channing Tatum,Action Adventure Sci-Fi,jupiter ascending
Andrew Adamson,Jim Broadbent,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
